ticker,report_year,source_hf_path,tables_found,direct_NIM_pct,direct_NIM_method,direct_CAR_pct,direct_CAR_method,npl_group3_million_vnd,npl_group4_million_vnd,npl_group5_million_vnd,npl_denominator_customer_loans_million_vnd,npl_component_method,loan_loss_reserve_million_vnd,loan_loss_reserve_method,demand_deposits_million_vnd,customer_deposits_million_vnd,casa_component_method
VCB,2015,ocr_results/VCB/2015/VCB_Baocaotaichinh_2015_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2015_Kiemtoan_Hopnhat_extracted.txt,108,,not_found,,not_found,796645.0,750489.0,5590129.0,387151704.0,OCR table 30: group 3/4/5 debt table; denominator from sum of classification rows; amounts standardized to million VND from reported_million_vnd,8609878.0,OCR table 4: loan loss reserve; amounts standardized to million VND from reported_million_vnd,140491461.0,500528267.0,OCR table 65: non-term customer deposits; customer total from balance-sheet row in OCR table 5; reported_million_vnd; amounts standardized to million VND from reported_million_vnd
VCB,2016,ocr_results/VCB/2016/VCB_Baocaotaichinh_2016_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2016_Kiemtoan_Hopnhat_extracted.txt,97,,not_found,,not_found,1359294.0,1330025.0,4247064.0,460808468.0,OCR table 27: group 3/4/5 debt table; denominator from sum of classification rows; amounts standardized to million VND from reported_million_vnd,8124152.0,OCR table 4: loan loss reserve; amounts standardized to million VND from reported_million_vnd,159627676.0,590451344.0,OCR table 57: non-term customer deposits; customer total from balance-sheet row in OCR table 5; reported_million_vnd; amounts standardized to million VND from reported_million_vnd
VCB,2017,ocr_results/VCB/2017/VCB_Baocaotaichinh_2017_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,103,,not_found,,not_found,684223.0,3584263.0,1940203.0,543434460.0,OCR table 34: group 3/4/5 debt table; denominator from sum of classification rows; amounts standardized to million VND from reported_million_vnd,8113056.0,OCR table 10: loan loss reserve; amounts standardized to million VND from reported_million_vnd,201004132.0,708519717.0,OCR table 59: non-term customer deposits; customer total from balance-sheet row in OCR table 11; reported_million_vnd; amounts standardized to million VND from reported_million_vnd
VCB,2018,ocr_results/VCB/2018/VCB_Baocaotaichinh_2018_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2018_Kiemtoan_Hopnhat_extracted.txt,94,,not_found,,not_found,291788.0,1160507.0,4770698.0,631866758.0,OCR table 30: group 3/4/5 debt table; denominator from sum of classification rows; amounts standardized to million VND from reported_million_vnd,10293509.0,OCR table 5: loan loss reserve; amounts standardized to million VND from reported_million_vnd,226842211.0,801929115.0,OCR table 55: non-term customer deposits; customer total from balance-sheet row in OCR table 6; reported_million_vnd; amounts standardized to million VND from reported_million_vnd
VCB,2019,ocr_results/VCB/2019/VCB_Baocaotaichinh_2019_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2019_Kiemtoan_Hopnhat_extracted.txt,101,,not_found,,not_found,686839.0,587253.0,4529841.0,734706891.0,OCR table 35: group 3/4/5 debt table; denominator from sum of classification rows; amounts standardized to million VND from reported_million_vnd,10416789.0,OCR table 8: loan loss reserve; amounts standardized to million VND from reported_million_vnd,262977124.0,928450869.0,OCR table 62: non-term customer deposits; customer total from balance-sheet row in OCR table 9; reported_million_vnd; amounts standardized to million VND from reported_million_vnd
VCB,2020,ocr_results/VCB/2020/VCB_Baocaotaichinh_2020_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2020_Kiemtoan_Hopnhat_extracted.txt,104,,not_found,,not_found,668690.0,223292.0,4337587.0,839788261.0,OCR table 35: group 3/4/5 debt table; denominator from sum of classification rows; amounts standardized to million VND from reported_million_vnd,19242794.0,OCR table 9: loan loss reserve; amounts standardized to million VND from reported_million_vnd,307026182.0,1032113567.0,OCR table 60: non-term customer deposits; customer total from balance-sheet row in OCR table 10; reported_million_vnd; amounts standardized to million VND from reported_million_vnd
VCB,2021,ocr_results/VCB/2021/VCB_Baocaotaichinh_2021_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2021_Kiemtoan_Hopnhat_extracted.txt,106,,not_found,,not_found,743995.0,965987.0,4411146.0,960749955.0,OCR table 37: group 3/4/5 debt table; denominator from sum of classification rows; amounts standardized to million VND from reported_million_vnd,25975668.0,OCR table 8: loan loss reserve; amounts standardized to million VND from reported_million_vnd,367149083.0,1135323913.0,OCR table 66: non-term customer deposits; customer total from balance-sheet row in OCR table 9; reported_million_vnd; amounts standardized to million VND from reported_million_vnd
VCB,2022,ocr_results/VCB/2022/VCB_Baocaotaichinh_2022_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2022_Kiemtoan_Hopnhat_extracted.txt,110,,not_found,,not_found,414767.0,782370.0,6623284.0,1145066250.0,OCR table 36: group 3/4/5 debt table; denominator from sum of classification rows; amounts standardized to million VND from reported_million_vnd,24779418.0,OCR table 6: loan loss reserve; amounts standardized to million VND from reported_million_vnd,402103803.0,1243468471.0,OCR table 62: non-term customer deposits; customer total from balance-sheet row in OCR table 7; reported_million_vnd; amounts standardized to million VND from reported_million_vnd
VCB,2023,ocr_results/VCB/2023/VCB_Baocaotaichinh_2023_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2023_Kiemtoan_Hopnhat_extracted.txt,117,,not_found,,not_found,1737243.0,2876975.0,7840749.0,1270359018.0,OCR table 40: group 3/4/5 debt table; denominator from sum of classification rows; amounts standardized to million VND from reported_million_vnd,28683685.0,OCR table 10: loan loss reserve; amounts standardized to million VND from reported_million_vnd,461311977.0,1395697611.0,OCR table 71: non-term customer deposits; customer total from balance-sheet row in OCR table 11; reported_million_vnd; amounts standardized to million VND from reported_million_vnd
VCB,2024,ocr_results/VCB/2024/VCB_Baocaotaichinh_2024_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,113,,not_found,,not_found,2153039.0,1518558.0,10292417.0,1449198899.0,OCR table 38: group 3/4/5 debt table; denominator from sum of classification rows; amounts standardized to million VND from reported_million_vnd,31183175.0,OCR table 10: loan loss reserve; amounts standardized to million VND from reported_million_vnd,529738285.0,1514664850.0,OCR table 65: non-term customer deposits; customer total from balance-sheet row in OCR table 11; reported_million_vnd; amounts standardized to million VND from reported_million_vnd
