trade_date,ticker,open,high,low,close_vnd,volume
11/26/2015,VCB,13.76,13.82,13.64,13.64,281040
11/27/2015,VCB,13.55,13.64,13.25,13.31,673400
11/30/2015,VCB,13.28,13.31,12.89,12.89,977620
12/1/2015,VCB,12.92,13.04,12.62,12.65,880030
12/2/2015,VCB,12.65,12.83,12.62,12.68,1737010
12/3/2015,VCB,12.62,12.95,12.62,12.8,986090
12/4/2015,VCB,12.89,12.89,12.65,12.71,483880
12/7/2015,VCB,12.65,12.65,12.23,12.26,1415520
12/8/2015,VCB,12.26,12.98,12.02,12.95,909680
12/9/2015,VCB,12.95,12.95,12.38,12.44,892100
12/10/2015,VCB,12.44,12.56,12.32,12.38,406020
12/11/2015,VCB,12.38,12.59,12.26,12.41,579040
12/14/2015,VCB,12.47,12.59,12.38,12.5,634120
12/15/2015,VCB,12.5,13.1,12.5,12.98,1248200
12/16/2015,VCB,13.07,13.28,13.01,13.07,663090
12/17/2015,VCB,13.13,13.28,13.1,13.22,675360
12/18/2015,VCB,13.07,13.25,12.38,12.38,3155650
12/21/2015,VCB,12.62,12.77,12.62,12.77,1032900
12/22/2015,VCB,12.83,12.89,12.71,12.77,502820
12/23/2015,VCB,12.62,12.8,12.62,12.74,846590
12/24/2015,VCB,12.8,12.86,12.68,12.68,228290
12/25/2015,VCB,12.71,12.89,12.68,12.77,587920
12/28/2015,VCB,12.86,12.92,12.77,12.77,431580
12/29/2015,VCB,12.77,13.25,12.74,13.22,1440210
12/30/2015,VCB,13.25,13.49,13.19,13.31,1125780
12/31/2015,VCB,13.37,13.37,13.16,13.19,749830
1/4/2016,VCB,13.1,13.22,12.8,12.98,761750
1/5/2016,VCB,12.89,13.04,12.74,12.77,1133260
1/6/2016,VCB,12.77,12.98,12.77,12.92,699490
1/7/2016,VCB,12.86,12.89,12.62,12.77,935460
1/8/2016,VCB,12.71,12.8,12.53,12.68,676340
1/11/2016,VCB,12.68,12.74,12.56,12.59,742390
1/12/2016,VCB,12.62,12.83,12.62,12.83,481040
1/13/2016,VCB,12.86,12.89,12.71,12.71,448800
1/14/2016,VCB,12.56,12.68,12.47,12.56,641380
1/15/2016,VCB,12.56,12.62,12.2,12.2,880150
1/18/2016,VCB,11.87,12.02,11.41,11.6,1614080
1/19/2016,VCB,11.6,12.14,11.6,12.11,771340
1/20/2016,VCB,11.96,12.32,11.87,12.02,733790
1/21/2016,VCB,11.87,12.02,11.75,11.84,654450
1/22/2016,VCB,12.02,12.05,11.6,11.9,777540
1/25/2016,VCB,12.02,12.59,12.02,12.53,1367810
1/26/2016,VCB,12.17,12.41,12.11,12.2,656340
1/27/2016,VCB,12.41,12.41,12.17,12.17,582060
1/28/2016,VCB,12.11,12.26,12.11,12.17,562170
1/29/2016,VCB,12.17,12.44,12.11,12.44,1019250
2/1/2016,VCB,12.44,12.47,12.23,12.23,223320
2/2/2016,VCB,12.23,12.26,12.11,12.14,603810
2/3/2016,VCB,12.02,12.02,11.81,11.9,802180
2/4/2016,VCB,12.02,12.2,12.02,12.02,286750
2/5/2016,VCB,11.9,12.14,11.9,12.05,268300
2/15/2016,VCB,11.96,12.2,11.84,12.11,800790
2/16/2016,VCB,12.05,12.26,12.05,12.11,390050
2/17/2016,VCB,12.11,12.2,11.96,11.96,827530
2/18/2016,VCB,12.02,12.29,11.99,12.11,735780
2/19/2016,VCB,12.2,12.2,12.05,12.05,473670
2/22/2016,VCB,12.05,12.17,12.02,12.14,653090
2/23/2016,VCB,12.23,12.5,12.23,12.32,1130660
2/24/2016,VCB,12.32,12.92,12.23,12.71,1653800
2/25/2016,VCB,12.77,12.92,12.5,12.56,1236220
2/26/2016,VCB,12.62,12.62,12.41,12.62,493160
2/29/2016,VCB,12.56,12.62,12.32,12.32,887030
3/1/2016,VCB,12.38,12.47,12.23,12.23,849900
3/2/2016,VCB,12.35,12.59,12.32,12.53,647420
3/3/2016,VCB,12.59,12.65,12.47,12.5,464550
3/4/2016,VCB,12.5,12.77,12.47,12.56,681190
3/7/2016,VCB,12.62,12.68,12.53,12.56,567700
3/8/2016,VCB,12.56,12.62,12.44,12.5,775770
3/9/2016,VCB,12.53,12.59,12.41,12.44,469530
3/10/2016,VCB,12.47,12.53,12.32,12.5,643780
3/11/2016,VCB,12.56,12.59,12.47,12.5,510750
3/14/2016,VCB,12.47,12.53,12.41,12.53,807110
3/15/2016,VCB,12.47,12.65,12.47,12.62,1294120
3/16/2016,VCB,12.65,13.07,12.65,12.98,1864950
3/17/2016,VCB,13.07,13.13,12.83,12.83,1074970
3/18/2016,VCB,12.8,12.86,12.68,12.77,3546350
3/21/2016,VCB,13.01,13.19,12.86,12.89,1862820
3/22/2016,VCB,12.92,13.01,12.86,13.01,592130
3/23/2016,VCB,13.01,13.01,12.86,12.89,645700
3/24/2016,VCB,12.89,12.92,12.62,12.65,825250
3/25/2016,VCB,12.62,12.86,12.5,12.86,1381530
3/28/2016,VCB,12.89,12.92,12.8,12.86,533900
3/29/2016,VCB,12.89,12.89,12.62,12.62,325890
3/30/2016,VCB,12.5,12.71,12.5,12.65,444490
3/31/2016,VCB,12.62,12.68,12.32,12.32,937910
4/1/2016,VCB,12.32,12.44,12.26,12.29,554870
4/4/2016,VCB,12.38,12.41,12.17,12.29,439520
4/5/2016,VCB,12.29,12.44,12.23,12.32,610190
4/6/2016,VCB,12.32,12.62,12.29,12.62,920280
4/7/2016,VCB,12.68,12.68,12.35,12.53,594270
4/8/2016,VCB,12.47,12.53,12.41,12.44,653640
4/11/2016,VCB,12.44,12.62,12.29,12.5,985640
4/12/2016,VCB,12.5,12.8,12.32,12.65,970780
4/13/2016,VCB,12.71,12.74,12.56,12.59,633990
4/14/2016,VCB,12.59,12.77,12.56,12.71,774160
4/15/2016,VCB,12.77,13.07,12.71,12.77,1187790
4/19/2016,VCB,12.8,13.01,12.68,12.74,983900
4/20/2016,VCB,12.77,12.86,12.65,12.86,769750
4/21/2016,VCB,12.86,12.98,12.8,12.89,818280
4/22/2016,VCB,12.89,13.76,12.89,13.73,2478140
4/25/2016,VCB,13.79,14.06,13.79,13.79,1300050
4/26/2016,VCB,13.67,14.18,13.67,14.18,835300
4/27/2016,VCB,14.18,14.27,13.79,13.82,1194570
4/28/2016,VCB,13.82,14.06,13.73,13.88,693290
4/29/2016,VCB,13.7,14.06,13.7,13.82,726380
5/4/2016,VCB,13.76,14.03,13.58,13.85,747740
5/5/2016,VCB,13.97,14.36,13.91,14.15,1076200
5/6/2016,VCB,14.24,14.66,14.18,14.6,1525690
5/9/2016,VCB,14.6,14.81,14.42,14.42,831230
5/10/2016,VCB,14.42,14.6,14.3,14.6,544750
5/11/2016,VCB,14.6,14.78,14.51,14.72,713460
5/12/2016,VCB,14.63,14.81,14.42,14.42,488750
5/13/2016,VCB,14.42,14.51,14.12,14.3,679240
5/16/2016,VCB,14.24,14.51,14.18,14.51,377280
5/17/2016,VCB,14.51,14.66,14.39,14.51,663200
5/18/2016,VCB,14.51,14.96,14.48,14.72,1259090
5/19/2016,VCB,14.72,14.72,14.45,14.45,402860
5/20/2016,VCB,14.6,14.66,14.18,14.24,1038420
5/23/2016,VCB,14.21,14.36,13.85,13.85,701070
5/24/2016,VCB,13.94,13.97,13.67,13.79,757630
5/25/2016,VCB,13.97,14.03,13.82,13.82,272480
5/26/2016,VCB,13.82,13.91,13.61,13.61,722940
5/27/2016,VCB,13.64,13.7,13.46,13.61,591480
5/30/2016,VCB,13.73,14.06,13.64,14.06,535160
5/31/2016,VCB,14.09,14.27,14,14.03,490340
6/1/2016,VCB,13.97,14.12,13.97,14.09,370980
6/2/2016,VCB,14.06,14.21,14,14.15,290780
6/3/2016,VCB,14.12,14.27,14.12,14.21,440430
6/6/2016,VCB,14.15,14.57,14.15,14.36,783790
6/7/2016,VCB,14.42,14.51,14.33,14.45,435960
6/8/2016,VCB,14.45,14.6,14.36,14.39,912800
6/9/2016,VCB,14.39,14.51,14.33,14.45,401410
6/10/2016,VCB,14.45,14.75,14.45,14.57,885040
6/13/2016,VCB,14.57,14.69,14.51,14.54,1201150
6/14/2016,VCB,14.45,14.6,14.36,14.51,789760
6/15/2016,VCB,14.48,14.48,14.33,14.36,603140
6/16/2016,VCB,14.39,14.45,14.3,14.33,627180
6/17/2016,VCB,14.21,14.33,14.15,14.15,946910
6/20/2016,VCB,14.15,14.21,13.91,14.09,622260
6/21/2016,VCB,14.09,14.15,14.06,14.12,527750
6/22/2016,VCB,14.12,14.15,13.97,14.06,483280
6/23/2016,VCB,14.09,14.42,14.06,14.42,688340
6/24/2016,VCB,14.39,14.42,13.43,14.06,827980
6/27/2016,VCB,13.94,13.94,13.64,13.88,341850
6/28/2016,VCB,13.76,14.06,13.76,13.94,403030
6/29/2016,VCB,14,14.24,14,14.21,544530
6/30/2016,VCB,14.15,14.27,14.12,14.21,478490
7/1/2016,VCB,14.21,14.36,14.12,14.27,523850
7/4/2016,VCB,14.27,14.84,14.27,14.78,1206430
7/5/2016,VCB,14.84,15.62,14.84,15.17,1658790
7/6/2016,VCB,15.02,15.47,14.99,15.02,592020
7/7/2016,VCB,15.17,15.32,14.96,15.32,714940
7/8/2016,VCB,15.32,15.77,15.02,15.32,834180
7/11/2016,VCB,15.47,16.07,15.32,15.62,1538540
7/12/2016,VCB,15.62,16.22,15.62,16.22,725030
7/13/2016,VCB,16.22,17.27,16.22,17.27,1442560
7/14/2016,VCB,17.42,17.57,16.82,16.82,921830
7/15/2016,VCB,16.82,17.12,16.22,16.22,850920
7/18/2016,VCB,16.07,16.82,15.92,16.67,736570
7/19/2016,VCB,16.82,17.12,16.52,16.82,559050
7/20/2016,VCB,16.97,16.97,16.22,16.52,422540
7/21/2016,VCB,16.52,16.67,15.92,16.67,657360
7/22/2016,VCB,16.52,16.67,15.62,15.62,886600
7/25/2016,VCB,15.62,16.07,15.47,15.92,318900
7/26/2016,VCB,15.92,16.22,15.62,15.92,268770
7/27/2016,VCB,15.77,16.37,15.77,16.37,402240
7/28/2016,VCB,16.37,16.52,16.07,16.52,91390
7/29/2016,VCB,16.37,16.52,16.07,16.22,225610
8/1/2016,VCB,16.22,16.22,15.92,15.92,365040
8/2/2016,VCB,15.92,15.92,15.32,15.47,634560
8/3/2016,VCB,15.32,15.47,14.87,15.17,324230
8/4/2016,VCB,15.32,16.22,15.17,15.62,537660
8/5/2016,VCB,15.77,15.77,15.17,15.32,327970
8/8/2016,VCB,15.47,15.62,15.17,15.62,348760
8/9/2016,VCB,15.62,15.92,15.47,15.92,181050
8/10/2016,VCB,15.77,16.22,15.77,16.07,310040
8/11/2016,VCB,16.07,16.82,16.07,16.82,737430
8/12/2016,VCB,16.67,16.82,16.07,16.37,331030
8/15/2016,VCB,16.07,16.52,16.07,16.37,165580
8/16/2016,VCB,16.22,16.52,16.07,16.22,513280
8/17/2016,VCB,16.22,16.22,15.62,15.92,635370
8/18/2016,VCB,16.22,16.52,15.92,15.92,577820
8/19/2016,VCB,15.92,16.37,15.92,16.07,250570
8/22/2016,VCB,16.52,16.52,16.07,16.07,466900
8/23/2016,VCB,15.92,16.22,15.77,15.92,559330
8/24/2016,VCB,16.07,16.37,16.07,16.22,275230
8/25/2016,VCB,16.22,16.37,16.07,16.22,453540
8/26/2016,VCB,16.82,17.27,16.67,17.27,1821780
8/29/2016,VCB,17.87,18.17,17.27,17.27,1324350
8/30/2016,VCB,16.97,17.12,16.52,16.67,1550890
8/31/2016,VCB,16.67,16.97,16.07,16.22,2593570
9/1/2016,VCB,16.37,16.52,15.47,15.77,3427730
9/5/2016,VCB,15.77,15.77,14.96,15.17,4191860
9/6/2016,VCB,15.32,15.47,15.02,15.17,1844160
9/7/2016,VCB,15.32,15.62,15.02,15.17,1582570
9/8/2016,VCB,15.32,15.32,15.02,15.17,1899730
9/9/2016,VCB,15.73,16.18,15.65,16.02,3353710
9/12/2016,VCB,15.94,15.98,15.31,15.5,1033010
9/13/2016,VCB,15.52,15.52,14.9,14.9,2161880
9/14/2016,VCB,14.71,15.48,14.71,15.11,1555400
9/15/2016,VCB,15.23,15.36,14.9,14.9,717270
9/16/2016,VCB,14.9,14.94,14.49,14.49,7265480
9/19/2016,VCB,14.78,15.25,14.78,15.17,1527320
9/20/2016,VCB,15.19,15.56,15.03,15.5,1203310
9/21/2016,VCB,15.4,15.56,15.31,15.5,1739860
9/22/2016,VCB,15.65,15.85,15.5,15.52,1593200
9/23/2016,VCB,15.52,15.58,15.4,15.46,836780
9/26/2016,VCB,15.48,15.71,15.34,15.56,1147450
9/27/2016,VCB,15.56,16,15.48,15.98,2049090
9/28/2016,VCB,16.06,16.23,15.96,16.14,1753620
9/29/2016,VCB,16.14,16.2,15.73,15.85,1749200
9/30/2016,VCB,15.85,16.06,15.73,15.85,1402860
10/3/2016,VCB,15.85,15.98,15.6,15.69,1293590
10/4/2016,VCB,15.69,15.98,15.65,15.69,1653180
10/5/2016,VCB,15.94,15.98,15.79,15.81,931670
10/6/2016,VCB,15.81,16,15.81,15.87,1173090
10/7/2016,VCB,15.91,16,15.65,15.71,1316880
10/10/2016,VCB,15.71,15.81,15.31,15.52,1014570
10/11/2016,VCB,15.6,15.65,15.15,15.65,2070950
10/12/2016,VCB,15.65,15.71,15.5,15.56,532610
10/13/2016,VCB,15.6,15.6,15.36,15.44,587930
10/14/2016,VCB,15.44,15.6,15.4,15.4,840790
10/17/2016,VCB,15.4,15.4,15.07,15.07,1573680
10/18/2016,VCB,15.07,15.27,14.94,15.09,943960
10/19/2016,VCB,15.23,15.4,15.15,15.19,960210
10/20/2016,VCB,15.23,15.31,15.19,15.19,590370
10/21/2016,VCB,15.19,15.31,15.15,15.19,775760
10/24/2016,VCB,15.23,15.31,14.94,14.94,682740
10/25/2016,VCB,14.94,14.94,14.65,14.8,1336590
10/26/2016,VCB,14.8,14.82,14.61,14.61,694100
10/27/2016,VCB,14.61,15.03,14.61,15.03,844890
10/28/2016,VCB,15.03,15.07,14.86,15.03,435980
10/31/2016,VCB,15.03,15.09,14.9,14.9,672940
11/1/2016,VCB,14.82,14.98,14.78,14.86,519580
11/2/2016,VCB,14.82,14.88,14.65,14.65,508170
11/3/2016,VCB,14.55,14.59,14.38,14.49,984650
11/4/2016,VCB,14.57,14.57,14.45,14.49,613830
11/7/2016,VCB,14.53,15.03,14.51,15,1085380
11/8/2016,VCB,15.07,15.09,14.9,15.07,1088300
11/9/2016,VCB,15.03,15.03,14.49,14.9,1690880
11/10/2016,VCB,15.07,15.15,15.05,15.07,792150
11/11/2016,VCB,15.11,15.23,14.92,15,898610
11/14/2016,VCB,15,15,14.8,14.82,745100
11/15/2016,VCB,14.8,15,14.8,14.82,278870
11/16/2016,VCB,14.82,14.86,14.74,14.82,455210
11/17/2016,VCB,14.82,14.82,14.63,14.76,737730
