ticker,report_year,report_quarter,period_begin,period_end,period_begin_date,period_end_date,report_data_id,report_term_id,audit_status,source_page_url,source_pdf_url,roe_pct,operating_profit_before_provision_million_vnd,total_assets_million_vnd,total_liabilities_and_equity_million_vnd,customer_loans_million_vnd,customer_deposits_million_vnd,equity_million_vnd,net_income_million_vnd,net_interest_income_million_vnd,provision_expense_million_vnd,reportnorm_4310_million_vnd,reportnorm_4311_million_vnd,reportnorm_4312_million_vnd,reportnorm_4313_million_vnd,reportnorm_4318_million_vnd,reportnorm_4319_million_vnd,reportnorm_4321_million_vnd,reportnorm_4322_million_vnd,reportnorm_4323_million_vnd,reportnorm_4324_million_vnd
VCB,2009,1,200901,200903,1/1/2009,3/31/2009,27518,2,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,https://static2.vietstock.vn/data/HOSE/2009/BCTC/VN/QUY 1/VCB_Baocaotaichinh_Q1_2009_Hopnhat_1.pdf,7.75,1459903,220493456,220493456,113136208,147524002,14884329,1110660,1388421,0,3511584,27925456,25216081,255950,5104413,34819661,0,2546568,2438141,13068769
VCB,2009,2,200904,200906,4/1/2009,6/30/2009,27520,3,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2009/BCTC/VN/QUY 2/VCB_Baocaotaichinh_Q2_2009_Hopnhat.pdf,7.78,1726613,215651790,215651790,126595451,154848458,15080830,1165044,1635906,256746,3243981,4318170,30589019,144724,5845337,21495167,377400,2542968,2792987,12570511
VCB,2009,3,200907,200909,7/1/2009,9/30/2009,27521,4,Kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,https://static2.vietstock.vn/data/HOSE/2009/BCTC/VN/QUY 3/VCB_Baocaotaichinh_Q3_2009_Kiemtoan_Hopnhat.rar,6.88,1529369,225092616,225092616,133511788,158464162,15797845,1062758,1808344,152662,3559605,20461162,19413232,83930,9817079,27681966,324991,18,742504,12161333
VCB,2009,4,200910,200912,10/1/2009,12/31/2009,27522,5,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2009/BCTC/VN/QUY 4/VCB_Baocaotaichinh_Q4_2009_Hopnhat.rar,8.9,1644219,256053219,256053219,137454607,169173420,17051922,1461600,1731788,-249136,4485149,25174674,47452756,5768,22960150,38369017,81843,19,386058,7921482
VCB,2010,1,201001,201003,1/1/2010,3/31/2010,27523,2,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2010/BCTC/VN/QUY 1/VCB_Baocaotaichinh_Q1_2010_Hopnhat.rar,6.24,1770961,239127324,239127324,146445573,166890115,17497012,1067939,1757133,353225,4316981,12802833,33283281,6549,10965813,31391732,0,20,306614,11954703
VCB,2010,2,201004,201006,4/1/2010,6/30/2010,96046,3,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2010/BCTC/VN/QUY 2/VCB_Baocaotaichinh_Q2_2010_Congtyme.zip,6.1,1352588,246334663,246334673,146850265,182515775,16408070,1034128,2461204,,4082368,7079687,41589689,,12915737,26758695,,20,121862,7614514
VCB,2010,3,201007,201009,7/1/2010,9/30/2010,27527,4,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2010/BCTC/VN/QUY 3/VCB_Baocaotaichinh_Q3_2010_Hopnhat.rar,5.07,1440046,260316229,260316229,158524445,190074588,20130674,926475,1819228,194355,4716768,5259359,50610602,13903,10169539,29407362,9103,20,2285268,8121726
VCB,2010,4,201010,201012,10/1/2010,12/31/2010,27541,5,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2010/BCTC/VN/QUY 4/VCB_Baocoataichinh_Q4_2010_Hopnhat.pdf,5.51,2381534,307614509,307614509,171143464,204725580,21215970,1139242,2459568,943517,5232743,8239851,78755500,7181,10076936,59529027,0,20,3563985,8382942
VCB,2011,1,201101,201103,1/1/2011,3/31/2011,27311,2,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2011/BCTC/VN/QUY 1/VCB_Baocaotaichihnh_Q1_2011_Hopnhat.pdf,6.07,2295001,332476987,332476987,191824108,205224636,26561802,1434549,2806137,400467,5008962,22494362,71158422,9552,14479876,70988798,0,45000,2623794,12415174
VCB,2011,2,201104,201106,4/1/2011,6/30/2011,26926,3,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2011/BCTC/VN/QUY 2/VCB_Baocaotaichinh_Q2_2011_Hopnhat.pdf,3.65,1903220,344207378,344207378,185068933,176650494,27555243,986326,2687089,593512,5298947,31507663,79976502,54085,26706332,68683444,0,26996360,2548110,14923840
VCB,2011,3,201107,201109,7/1/2011,9/30/2011,29591,4,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2011/BCTC/VN/QUY 3/VCB_Baocaotaichinh_Q3_2011_Hopnhat.pdf,3.77,2112778,333735143,333735143,182726892,201216378,28533082,1057984,3684320,702097,5519785,19252645,76027328,54511,25963745,49981111,0,8217706,2125801,17569684
VCB,2011,4,201110,201112,10/1/2011,12/31/2011,32409,5,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2011/BCTC/VN/QUY 4/VCB_Baocaotaichinh_Q4_2011_Hopnhat.pdf,2.56,2832656,366750050,366750050,204145560,226909438,29335206,741765,3890536,1717386,5393766,10635620,104748399,711551,38866234,47962375,11474,0,2071383,21450706
VCB,2012,1,201201,201203,1/1/2012,3/31/2012,34869,2,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2012/BCTC/VN/QUY 1/VCB_Baocaotaichinh_Q1_2012_Hopnhat.pdf,3.82,2685446,358908126,358908126,202259907,224479126,41643601,1341868,3300012,950388,5394441,19159458,91762250,106287,19144308,49558275,0,0,2067357,21867476
VCB,2012,2,201204,201206,4/1/2012,6/30/2012,37064,3,Soát xét,https://finance.vietstock.vn/VCB/tai-chinh.htm,,2.22,2271814,391662936,391662936,208435766,242630412,40152835,906821,2454796,1089349,5651786,13571629,106138079,1349704,31739654,47361909,198941,0,2066095,27361865
VCB,2012,3,201207,201209,7/1/2012,9/30/2012,40491,4,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2012/BCTC/VN/QUY 3/VCB_Baocaotaichinh_Q3_2012_Hopnhat.pdf,2.72,2012210,416740517,416740517,220710941,262107261,41253000,1105721,2748162,535298,5546898,27098444,102745042,1158019,36263778,45766214,78010,,2049642,29068210
VCB,2012,4,201210,201212,10/1/2012,12/31/2012,42424,5,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2012/BCTC/VN/QUY 4/VCB_Baocaotaichinh_Q4_2012_Hopnhat.pdf,2.52,2022044,414670120,414670120,235959642,284514568,42336909,1054868,2471474,655103,5627307,15732096,65712726,520876,24806433,34066351,5461,,2027567,26760914
VCB,2013,1,201301,201303,1/1/2013,3/31/2013,45192,2,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2013/BCTC/VN/QUY 1/VCB_Baocaotaichinh_Q1_2013_Hopnhat.pdf,2.65,2272898,420480386,420480386,233165635,297758690,42482022,1112451,2590866,807607,5029253,17381212,70351250,141737,12654503,37774788,349834,,2020675,27283190
VCB,2013,2,201304,201306,4/1/2013,6/30/2013,47743,3,Soát xét,https://finance.vietstock.vn/VCB/tai-chinh.htm,,2.07,2304664,436470622,436470622,231636362,304811711,40602641,860694,2552601,1166802,5231973,26279109,100030235,116353,27209948,42490878,227694,,2020344,18940675
VCB,2013,3,201307,201309,7/1/2013,9/30/2013,51628,4,Chưa kiểm toán,https://finance.vietstock.vn/VCB/tai-chinh.htm,http://static2.vietstock.vn/data/HOSE/2013/BCTC/VN/QUY 3/VCB_Baocaotaichinh_Q3_2013_Hopnhat.pdf,2.53,2459238,439657246,439657246,243529996,316188876,41514360,1039892,2913590,1070764,5894863,23079579,79181704,49248,24410626,40132999,391774,,2016411,14855766
