dataset,split,label_column,label,count,rate
old_master,train,segment_label,Growth,89,0.19517543859649122
old_master,train,segment_label,Risky,167,0.36622807017543857
old_master,train,segment_label,Safe,200,0.43859649122807015
old_master,validation,segment_label,Growth,23,0.22115384615384615
old_master,validation,segment_label,Risky,40,0.38461538461538464
old_master,validation,segment_label,Safe,41,0.3942307692307692
old_master,test,segment_label,Growth,40,0.19230769230769232
old_master,test,segment_label,Risky,76,0.36538461538461536
old_master,test,segment_label,Safe,92,0.4423076923076923
common_master,validation_train,risk10_label,NoRisk,407,0.7373188405797102
common_master,validation_train,risk10_label,Risk,145,0.26268115942028986
common_master,validation_train,aux_risk5_label,NoRisk,393,0.7119565217391305
common_master,validation_train,aux_risk5_label,Risk,159,0.28804347826086957
common_master,validation,risk10_label,NoRisk,321,0.7716346153846154
common_master,validation,risk10_label,Risk,95,0.2283653846153846
common_master,validation,aux_risk5_label,NoRisk,304,0.7307692307692307
common_master,validation,aux_risk5_label,Risk,112,0.2692307692307692
common_master,final_train,risk10_label,NoRisk,728,0.7520661157024794
common_master,final_train,risk10_label,Risk,240,0.24793388429752067
common_master,final_train,aux_risk5_label,NoRisk,697,0.7200413223140496
common_master,final_train,aux_risk5_label,Risk,271,0.2799586776859504
common_master,test,risk10_label,NoRisk,194,0.8290598290598291
common_master,test,risk10_label,Risk,40,0.17094017094017094
common_master,test,aux_risk5_label,NoRisk,187,0.7991452991452992
common_master,test,aux_risk5_label,Risk,47,0.20085470085470086
pq_validation,validation_train_expanded,risk10_label,NoRisk,8263,0.7587695133149679
pq_validation,validation_train_expanded,risk10_label,Risk,2627,0.24123048668503214
pq_validation,validation_score,risk10_label,NoRisk,321,0.7716346153846154
pq_validation,validation_score,risk10_label,Risk,95,0.2283653846153846
pq_test,test_train_expanded,risk10_label,NoRisk,6307,0.788375
pq_test,test_train_expanded,risk10_label,Risk,1693,0.211625
pq_test,test_score,risk10_label,NoRisk,194,0.8290598290598291
pq_test,test_score,risk10_label,Risk,40,0.17094017094017094
